Name,Homeworld,Residence,Species,Gender,Episode I,Episode II,Episode III,Episode IV,Episode V,Episode VI,First Trilogy,Second Trilogy
"""Shady"" Pers",Kashyyyk,Kashyyyk residents,Human,Male,0,0,0,0,0,0,0,0
'Ndranth Poussan,Agamar,Agamari,Human,Male,0,0,0,0,0,0,0,0
1B-8D-GE3,Onderon,Onderonians,Unknown,Masculine programming,0,0,0,0,0,0,0,0
2P-1,Unknown,Batuu residents,Unknown,Unknown,0,0,0,0,0,0,0,0
3B-IR,Unknown,Cularin residents,Unknown,Unknown,0,0,0,0,0,0,0,0
7-A39,Unknown,Almas residents,Unknown,Masculine,0,0,0,0,0,0,0,0
8D-J8,Unknown,Batuu residents,Unknown,Unknown,0,0,0,0,0,0,0,0
8t88,Unknown,Nar Shaddaa residents,Unknown,Unknown,0,0,0,0,0,0,0,0
99-99,Unknown,Hy Izlan residents,Unknown,Unknown,0,0,0,0,0,0,0,0
A'Deen,Tatooine,Tatooinians,Tusken Raider,Male,0,0,0,0,0,0,0,0
A'Lerris Verata,Unknown,Tatooinians,Human,Female,0,0,0,0,0,0,0,0
A'Mar,Unknown,A'Mar,Unknown,Unknown,0,0,0,0,0,0,0,0
A'jidre Skrigatov,Abregado-rae,Abregado-rae,Devaronian,Male,0,0,0,0,0,0,0,0
A-B6,Unknown,Tatooinians,Unknown,Feminine programming,0,0,0,0,0,0,0,0
A-Cee,Unknown,Sulonese,Unknown,Unknown,0,0,0,0,0,0,0,0
A-foreman,Kuat,Kuati,Unknown,Male,0,0,0,0,0,0,0,0
A.J.,Unknown,Almas residents,Unknown,Female,0,0,0,0,0,0,0,0
AZI-345211896246498721347,Unknown,Kamino residents,Unknown,Masculine programming,0,0,0,0,0,0,0,0
Aach,Alderaan,Alderaanians,Human,Male,0,0,0,0,0,0,0,0
Aaida,Nar Shaddaa,Telosians,Human,Female,0,0,0,0,0,0,0,0
Aalia Duu-lang,Stassia,Stassians,Human,Female,0,0,0,0,0,0,0,0
Aaph Koden,Tatooine,Tatooinians,Zabrak,Female,0,0,0,0,0,0,0,0
Aari Covitenn,Bakura,Bakurans,Human,Female,0,0,0,0,0,0,0,0
Aarrba,Empress Teta,Tetans,Hutt,Male,0,0,0,0,0,0,0,0
Ab'el Bogen,Ralltiir,Ralltiiri,Human,Male,0,0,0,0,0,0,0,0
Abadaner,Corellia,Corellians,Human,Male,0,0,0,0,0,0,0,0
Abagga Creel,Unknown,Corellians,Human,Female,0,0,0,0,0,0,0,0
Abbus-Kelo,Unknown,Nar Shaddaa residents,Human,Male,0,0,0,0,0,0,0,0
Abdi-Badawzi,Socorro,Socorrans,Twi'lek,Male,0,0,0,0,0,0,0,0
Abel,Dantooine,Dantooinians,Gamorrean,Male,0,0,0,0,0,0,0,0
Achonnko,Kashyyyk,Kashyyyk residents,Wookiee,Male,0,0,0,0,0,0,0,0
Ackli,Tatooine,Tatooinians,Mon Calamari,Male,0,0,0,0,0,0,0,0
Ackmena,Unknown,Tatooinians,Human,Female,0,0,0,0,0,0,0,0
Ackrahbala,Unknown,Lamaredd residents,Chagrian,Male,0,0,0,0,0,0,0,0
Acros-Krik,Coruscant,Coruscanti,Ongree,Male,0,1,0,0,0,0,1,0
Ada,Taris,Tarisians,Human,Female,0,0,0,0,0,0,0,0
Ada's father,Taris,Tarisians,Human,Male,0,0,0,0,0,0,0,0
Adalric Cessius Brandl,Trulalis,Trulalis residents,Human,Male,0,0,0,0,0,0,0,0
Adam (Tatooine),Tatooine,Tatooinians,Human,Male,0,0,0,0,0,0,0,0
Adam Swiftgale,Manda,Manda residents,Human,Male,0,0,0,0,1,0,0,1
Adan Dooku,Serenno,Serennian,Human,Male,0,0,0,0,0,0,0,0
Adana (Human),Nar Shaddaa,Nar Shaddaa residents,Human,Female,0,0,0,0,0,0,0,0
Adea Rite,Corellia,Corellians,Human,Female,0,0,0,0,0,0,0,0
Adela Tyché,Unknown,Naboo,Human,Female,0,0,0,0,0,0,0,0
Adem Antin,Bellassa,Bellassans,Human,Male,0,0,0,0,0,0,0,0
Aden,Unknown,Felucia residents,Human,Male,0,0,0,0,0,0,0,0
